id,xdeal,ydeal,,,,
10724,0.843228436,0.022540583,,,,
10725,0.152668346,0.557941761,,,,
10726,0.269472316,0.713065766,,,,
10727,0.593284042,0.338483131,,,,
10728,0.829726494,0.094939749,,,,
10731,0.882353,0.002495832,,,,
10732,0.23120289,0.727204324,,,,
10735,0.805818952,0.082177839,,,,
10736,0.658771569,0.292107486,,,,
10737,0.17751285,0.614527354,,,,
10739,0.754862263,0.003190656,,,,
10740,0.210370703,0.599700521,,,,
10743,0.193149146,0.484686835,,,,
10744,0.176534897,0.624988729,,,,
10748,0.236845597,0.600738141,,,,
10749,0.804251766,0.081151521,,,,
10750,0.139835587,0.567418152,,,,
10751,0.771420421,0.00240695,,,,
10752,0.582908727,0.357740275,,,,
10754,0.458184289,0.105818126,,,,
10756,0.187070859,0.542710917,,,,
10757,0.202154759,0.606322331,,,,
10758,0.484929016,0.070587894,,,,
10759,0.692124441,0.303050839,,,,
10760,0.882353,0.002495832,,,,
10761,0.218389837,0.590829517,,,,
10762,0.452834227,0.627146463,,,,
10765,0.882353,0.002495832,,,,
10766,0.233298684,0.515235139,,,,
10771,0.832329172,0.032283187,,,,
10772,0.533430038,0.05162412,,,,
10774,0.093220281,0.421683278,,,,
10775,0.882353,0.002495832,,,,
10776,0.882353,0.002495832,,,,
10777,0.161547918,0.546365987,,,,
10778,0.261119338,0.543774254,,,,
10779,0.843721153,0.036162127,,,,
10780,0.882353,0.002495832,,,,
10781,0.677441748,0.489086433,,,,
10785,0.141747952,0.568488413,,,,
10788,0.622018741,0.327317137,,,,
10789,0.58180467,0.33961601,,,,
10790,0.598916438,0.513658331,,,,
10791,0.815035989,0.083706449,,,,
10794,0.63706649,0.370239348,,,,
10796,0.882353,0.002495832,,,,
10797,0.652478792,0.358508226,,,,
10801,0.132999435,0.440359779,,,,
10803,0.807792587,0.07264552,,,,
10804,0.125989051,0.389518686,,,,
10807,0.655888442,0.305126892,,,,
10809,0.643238924,0.314833009,,,,
10812,0.274800488,0.759222084,,,,
10814,0.634071593,0.402651598,,,,
10815,0.798614591,0.084843787,,,,
10817,0.490008813,0.077916947,,,,
10818,0.077667917,0.333614988,,,,
10819,0.882353,0.002495832,,,,
10821,0.507621388,0.057657483,,,,
10824,0.882353,0.002495832,,,,
10826,0.533849214,0.054362493,,,,
10829,0.882353,0.002495832,,,,
10830,0.739192551,0.356366011,,,,
10832,0.882353,0.002495832,,,,
10835,0.441348768,0.112003343,,,,
10836,0.260773141,0.832135381,,,,
10837,0.797763273,0.071069971,,,,
10838,0.645107668,0.391123263,,,,
10840,0.626152889,0.364744828,,,,
10842,0.634439963,0.364795851,,,,
10848,0.471298826,0.135902727,,,,
10850,0.882353,0.002495832,,,,
10853,0.559556956,0.447634514,,,,
10854,0.080524934,0.308098287,,,,
10855,0.202075346,0.61146792,,,,
10858,0.184254439,0.495945015,,,,
10861,0.081213467,0.310159785,,,,
10863,0.165746592,0.564013467,,,,
10865,0.085315898,0.447549619,,,,
10868,0.524777091,0.055954794,,,,
10870,0.144484283,0.577256548,,,,
10871,0.191753345,0.483403627,,,,
10873,0.589277918,0.352482504,,,,
10876,0.18095832,0.505748217,,,,
10877,0.882353,0.002495832,,,,
10879,0.515827716,0.055305538,,,,
10880,0.280001167,0.822383303,,,,
10882,0.882353,0.002495832,,,,
10883,0.882353,0.002495832,,,,
10884,0.269219711,0.71278911,,,,
10887,0.139921547,0.380803492,,,,
10891,0.172298667,0.607231679,,,,
10893,0.792588409,0.091662488,,,,
10894,0.160435858,0.522071884,,,,
10896,0.882353,0.002495832,,,,
10897,0.192534995,0.503614729,,,,
10898,0.882353,0.002495832,,,,
10903,0.840896526,0.020472842,,,,
10904,0.789512225,0.086138004,,,,
10907,0.566238504,0.361853246,,,,
10911,0.204907359,0.254965906,,,,
10913,0.328442732,0.318845119,,,,
10915,0.882353,0.002495832,,,,
10918,0.182214202,0.622973939,,,,
10921,0.150613091,0.366598447,,,,
10925,0.854312562,0.013947155,,,,
10926,0.882353,0.002495832,,,,
10927,0.150411718,0.551609401,,,,
10930,0.218436928,0.742733348,,,,
10931,0.140474907,0.383451845,,,,
10932,0.154918036,0.538407679,,,,
10933,0.142642759,0.465007806,,,,
10934,0.882353,0.002495832,,,,
10935,0.882353,0.002495832,,,,
10936,0.211525792,0.695574845,,,,
10937,0.582084032,0.126120552,,,,
10941,0.196912585,0.541533354,,,,
10943,0.258508996,0.825707089,,,,
10948,0.771327742,0.0014429,,,,
10949,0.226001352,0.601167638,,,,
10951,0.882353,0.002495832,,,,
10955,0.26930329,0.711602633,,,,
10956,0.882353,0.002495832,,,,
10957,0.141070164,0.54074553,,,,
10959,0.882353,0.002495832,,,,
10961,0.142504861,0.575926936,,,,
10967,0.210661166,0.540935152,,,,
10969,0.260688831,0.490915668,,,,
10970,0.648262003,0.379645668,,,,
10975,0.699935358,0.454972376,,,,
10976,0.205049274,0.614323159,,,,
10977,0.121940725,0.266176007,,,,
10981,0.6481736,0.599921139,,,,
10982,0.447152907,0.076126435,,,,
10983,0.286927911,0.809393766,,,,
10984,0.42357699,0.089520919,,,,
10985,0.189507884,0.553095921,,,,
10986,0.10342511,0.405708045,,,,
10991,0.588222125,0.420850313,,,,
10993,0.376855474,0.16997971,,,,
10996,0.18575558,0.524308641,,,,
10997,0.259702459,0.829810897,,,,
11000,0.597685379,0.331604798,,,,
11001,0.076440437,0.331374606,,,,
11002,0.196003595,0.51796818,,,,
11006,0.576755274,0.404469566,,,,
11009,0.113690987,0.272489294,,,,
11012,0.660587575,0.331679407,,,,
11015,0.882353,0.002495832,,,,
11016,0.250425127,0.507537531,,,,
11018,0.488760507,0.366724803,,,,
11021,0.140038029,0.541726638,,,,
11022,0.882353,0.002495832,,,,
11023,0.205236054,0.551577611,,,,
11025,0.228248695,0.608331699,,,,
11026,0.116418957,0.578641286,,,,
11027,0.640722078,0.38032317,,,,
11028,0.178471098,0.494050161,,,,
11029,0.141073995,0.537321368,,,,
11032,0.307324406,0.807328074,,,,
11033,0.080387399,0.306254151,,,,
11035,0.678996865,0.490463091,,,,
11038,0.192090525,0.555896614,,,,
11039,0.793240965,0.077643241,,,,
11040,0.613351949,0.370625859,,,,
11044,0.216125318,0.492427676,,,,
11046,0.209567131,0.534567631,,,,
11050,0.653956081,0.592177276,,,,
11051,0.882353,0.002495832,,,,
11052,0.205501418,0.586136827,,,,
11056,0.739802482,0.358869891,,,,
11057,0.882353,0.002495832,,,,
11061,0.882353,0.002495832,,,,
11064,0.592120227,0.360944491,,,,
11065,0.826885832,0.037145819,,,,
11066,0.627646695,0.38510233,,,,
11067,0.680544159,0.297388794,,,,
11068,0.127701815,0.379813476,,,,
11069,0.138294751,0.563741199,,,,
11070,0.661237733,0.301443892,,,,
11074,0.882353,0.002495832,,,,
11075,0.589917752,0.421999628,,,,
11078,0.827226568,0.119453155,,,,
11080,0.642650602,0.604171586,,,,
11081,0.882353,0.002495832,,,,
11083,0.220284757,0.506881483,,,,
11084,0.139397912,0.540374528,,,,
11085,0.142183523,0.565525098,,,,
11086,0.882353,0.002495832,,,,
11087,0.882353,0.002495832,,,,
11089,0.189840093,0.745087365,,,,
11091,0.209803367,0.537415081,,,,
11093,0.187605816,0.545284574,,,,
11095,0.847293456,0.062411892,,,,
11096,0.173805636,0.660847337,,,,
11097,0.806455277,0.085126526,,,,
11098,0.176743328,0.608095624,,,,
11099,0.261060081,0.474325757,,,,
11100,0.150173486,0.55411089,,,,
11102,0.818808184,0.107891882,,,,
11103,0.638852642,0.394378106,,,,
11104,0.18062512,0.484374129,,,,
11107,0.149874273,0.549089731,,,,
11111,0.604968354,0.353280065,,,,
11113,0.254956492,0.571685353,,,,
11115,0.808540423,0.073459442,,,,
11116,0.142924432,0.546905315,,,,
11120,0.882353,0.002495832,,,,
11123,0.161082795,0.607850099,,,,
11125,0.6779697,0.284003297,,,,
11128,0.81212518,0.078638203,,,,
11129,0.097477577,0.290549294,,,,
11130,0.882353,0.002495832,,,,
11135,0.722389603,0.010099535,,,,
11136,0.143941513,0.575300909,,,,
11137,0.613802623,0.32922793,,,,
11138,0.087420677,0.450569665,,,,
11141,0.882353,0.002495832,,,,
11143,0.06952252,0.63122843,,,,
11144,0.258550452,0.500714394,,,,
11146,0.882353,0.002495832,,,,
11147,0.668284892,0.280621505,,,,
11148,0.610720046,0.322936965,,,,
11149,0.185829393,0.729268208,,,,
11150,0.137898824,0.53024489,,,,
11151,0.277083825,0.533926082,,,,
11153,0.224609709,0.599453485,,,,
11154,0.882353,0.002495832,,,,
11155,0.845252234,0.02492067,,,,
11160,0.136675989,0.526496993,,,,
11165,0.048402207,0.611585422,,,,
11166,0.707134505,0.444132877,,,,
11167,0.882353,0.002495832,,,,
11169,0.141684773,0.542593892,,,,
11170,0.468425304,0.075727736,,,,
11171,0.16397609,0.507680588,,,,
11172,0.172593542,0.6013553,,,,
11175,0.882353,0.002495832,,,,
11176,0.189861346,0.490042412,,,,
11179,0.232405808,0.586654748,,,,
11180,0.882353,0.002495832,,,,
11181,0.882353,0.002495832,,,,
11182,0.084832187,0.445579878,,,,
11186,0.193017221,0.613981889,,,,
11189,0.832760125,0.022901293,,,,
11191,0.803118104,0.092249879,,,,
11192,0.115304236,0.277385449,,,,
11193,0.194340849,0.588478191,,,,
11197,0.158053308,0.510517588,,,,
11199,0.113314013,0.272550087,,,,
11201,0.230406508,0.530764582,,,,
11203,0.167730321,0.566525468,,,,
11206,0.154567899,0.570907622,,,,
11209,0.157749748,0.370748993,,,,
11210,0.250729703,0.564413308,,,,
