id,xdeal,ydeal
10662,753.58027441193,391.105433093437
10666,269.7834949966926,108.22786198356624
10668,329.5494095713613,640.1934665990918
10669,280.6205495150292,118.18580827327585
10670,763.4880146192903,399.4012695937451
10672,752.6076027714797,409.584245838788
10673,742.044574745525,386.3576013702747
10680,255.62459818081294,115.44373483137075
10683,270.4007861138204,612.1596114742563
10685,226.7608751284027,589.4701540264466
10687,769.3896350554517,405.4890951586549
10690,750.9446655775438,390.22333013010433
10693,759.8593980239365,395.05649841900714
10695,444.20758874762413,697.8984090598531
10698,238.93903536943586,592.7374527466691
10701,281.23490890388905,112.52284170545084
10703,735.5313194394112,384.7313336354593
10704,236.94711194139109,591.453957271839
10705,476.12938938230354,273.60552638059374
10708,287.3177916007145,128.2902107404798
10709,765.6440578616769,399.89755498786917
10711,281.832555172772,609.8451519212217
10712,744.2367933592992,393.89277989724485
10713,265.5134492589268,611.9083097300581
10721,276.9833056117775,126.53006457380009
10723,741.4651822840835,402.50901092257374
10725,225.10664958176014,578.6017053575657
10727,766.2249543843723,409.3710401823941
10731,767.3580520409289,526.9269104018585
10736,730.6977554729499,384.6522319946656
10737,267.5875171061386,114.22943283887551
10740,462.2832817797773,283.1081097957688
10744,290.624852758206,209.99867305971662
10750,244.47387901834378,597.6455000663966
10757,262.3077695167357,124.02607931560003
10758,292.80726612699846,130.63241850721903
10760,752.4960625134025,387.2981125319535
10761,263.7369273843543,118.4807389295643
10762,384.1257296783685,64.0840137835324
10765,727.1915518955091,379.3707579341544
10766,284.68295614830265,124.2624019190975
10772,237.83025778117948,606.597075586055
10774,287.9374304088642,123.9048025517276
10775,744.1032403163166,400.0201477037011
10776,466.49341888415967,699.2081500416591
10777,288.6221828901001,619.9815432073157
10780,288.17073865643215,327.29229518110424
10781,258.79477363020254,123.00096173926742
10785,257.8255252121578,627.4540245262941
10790,759.2332585081482,415.3838222873725
10791,267.70829971137437,111.99369761058409
10796,759.2028388004222,390.6840799238831
10803,763.20639865893,394.60746810989536
10804,225.648906221553,577.3528791357656
10807,740.3217353743873,382.50186429583596
10812,241.94491012192466,600.3077799907699
10817,349.2517769024097,616.6344260373561
10818,264.67602041134944,106.17641465122051
10819,745.5084549872258,405.3463469735113
